Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Бойлеры косвенного нагрева», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 355;0,00111;
август 2023;2 447;0,00115;
сентябрь 2023;2 580;0,00107;
октябрь 2023;3 124;0,00116;
ноябрь 2023;2 618;0,00099;
декабрь 2023;2 478;0,00092;
январь 2024;2 156;0,00082;
февраль 2024;2 249;0,00091;
март 2024;2 194;0,00085;
апрель 2024;1 895;0,00079;
май 2024;2 162;0,00092;
июнь 2024;1 843;0,00094;
июль 2024;2 317;0,00118;
август 2024;2 534;0,00129;
сентябрь 2024;2 657;0,00123;
октябрь 2024;3 168;0,00127;
ноябрь 2024;3 320;0,00128;
декабрь 2024;2 694;0,00100;
январь 2025;2 774;0,00103;
февраль 2025;2 668;0,00103;
март 2025;2 582;0,00096;
апрель 2025;2 355;0,00090;
май 2025;2 218;0,00092;
июнь 2025;2 555;0,00109;
