Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фланцы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;11 275;0,0053;
август 2023;11 123;0,0052;
сентябрь 2023;11 354;0,0047;
октябрь 2023;12 086;0,0045;
ноябрь 2023;12 127;0,0046;
декабрь 2023;10 372;0,0038;
январь 2024;9 365;0,0035;
февраль 2024;11 789;0,0048;
март 2024;11 994;0,0047;
апрель 2024;11 971;0,0050;
май 2024;12 672;0,0054;
июнь 2024;11 119;0,0056;
июль 2024;12 450;0,0063;
август 2024;11 795;0,0060;
сентябрь 2024;12 502;0,0058;
октябрь 2024;13 919;0,0056;
ноябрь 2024;13 680;0,0053;
декабрь 2024;13 506;0,0050;
январь 2025;13 017;0,0048;
февраль 2025;14 206;0,0054;
март 2025;15 472;0,0057;
апрель 2025;14 875;0,0057;
май 2025;12 928;0,0054;
июнь 2025;14 680;0,0062;
