Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ремонтные хомуты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;190;0,000090;
август 2023;223;0,000104;
сентябрь 2023;133;0,000055;
октябрь 2023;216;0,000080;
ноябрь 2023;140;0,000053;
декабрь 2023;163;0,000060;
январь 2024;231;0,000088;
февраль 2024;231;0,000094;
март 2024;191;0,000074;
апрель 2024;138;0,000058;
май 2024;227;0,000096;
июнь 2024;177;0,000090;
июль 2024;308;0,000157;
август 2024;182;0,000093;
сентябрь 2024;152;0,000070;
октябрь 2024;268;0,000107;
ноябрь 2024;223;0,000086;
декабрь 2024;227;0,000084;
январь 2025;232;0,000086;
февраль 2025;214;0,000082;
март 2025;201;0,000074;
апрель 2025;231;0,000089;
май 2025;223;0,000093;
июнь 2025;238;0,000102;
