Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Счетчики, манометры, термометры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;66 410;0,031;
август 2023;66 120;0,031;
сентябрь 2023;70 542;0,029;
октябрь 2023;81 582;0,030;
ноябрь 2023;89 450;0,034;
декабрь 2023;82 647;0,030;
январь 2024;79 416;0,030;
февраль 2024;76 667;0,031;
март 2024;79 496;0,031;
апрель 2024;71 261;0,029;
май 2024;68 500;0,029;
июнь 2024;59 165;0,030;
июль 2024;62 200;0,031;
август 2024;58 830;0,030;
сентябрь 2024;64 562;0,029;
октябрь 2024;80 486;0,032;
ноябрь 2024;85 126;0,032;
декабрь 2024;88 715;0,033;
январь 2025;83 166;0,030;
февраль 2025;86 132;0,033;
март 2025;97 002;0,036;
апрель 2025;88 601;0,034;
май 2025;69 868;0,029;
июнь 2025;71 700;0,030;
