Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ключи для американок», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;67;0,000031;
август 2023;50;0,000023;
сентябрь 2023;94;0,000039;
октябрь 2023;112;0,000041;
ноябрь 2023;58;0,000022;
декабрь 2023;84;0,000031;
январь 2024;59;0,000022;
февраль 2024;67;0,000027;
март 2024;53;0,000020;
апрель 2024;43;0,000018;
май 2024;63;0,000026;
июнь 2024;62;0,000031;
июль 2024;118;0,000060;
август 2024;82;0,000041;
сентябрь 2024;121;0,000056;
октябрь 2024;108;0,000043;
ноябрь 2024;118;0,000045;
декабрь 2024;99;0,000036;
январь 2025;69;0,000025;
февраль 2025;58;0,000022;
март 2025;54;0,000020;
апрель 2025;81;0,000031;
май 2025;86;0,000036;
июнь 2025;87;0,000037;
