Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сифоны, гофры, сливы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;7 647;0,0036;
август 2023;8 207;0,0038;
сентябрь 2023;7 175;0,0029;
октябрь 2023;8 242;0,0030;
ноябрь 2023;8 755;0,0033;
декабрь 2023;8 307;0,0031;
январь 2024;8 539;0,0032;
февраль 2024;7 768;0,0031;
март 2024;8 654;0,0033;
апрель 2024;7 686;0,0032;
май 2024;7 940;0,0033;
июнь 2024;7 434;0,0038;
июль 2024;8 008;0,0041;
август 2024;7 447;0,0038;
сентябрь 2024;7 219;0,0033;
октябрь 2024;9 526;0,0038;
ноябрь 2024;9 129;0,0035;
декабрь 2024;9 628;0,0035;
январь 2025;9 585;0,0035;
февраль 2025;9 272;0,0035;
март 2025;9 529;0,0035;
апрель 2025;8 528;0,0032;
май 2025;8 643;0,0036;
июнь 2025;8 759;0,0037;
