Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для водяного теплого пола», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;3;0,00000142;
август 2023;15;0,00000705;
сентябрь 2023;8;0,00000333;
октябрь 2023;1;0,00000037;
ноябрь 2023;13;0,00000494;
декабрь 2023;6;0,00000223;
январь 2024;6;0,00000229;
февраль 2024;3;0,00000122;
март 2024;2;0,00000078;
апрель 2024;0;0;
май 2024;4;0,00000170;
июнь 2024;0;0;
июль 2024;1;0,00000051;
август 2024;4;0,00000204;
сентябрь 2024;1;0,00000046;
октябрь 2024;6;0,00000241;
ноябрь 2024;2;0,00000077;
декабрь 2024;2;0,00000074;
январь 2025;1;0,00000037;
февраль 2025;3;0,00000115;
март 2025;5;0,00000186;
апрель 2025;1;0,00000038;
май 2025;7;0,00000293;
июнь 2025;4;0,00000171;
