Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Электрические котлы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 993;0,00094;
август 2023;2 772;0,00130;
сентябрь 2023;3 746;0,00156;
октябрь 2023;5 964;0,00222;
ноябрь 2023;4 628;0,00176;
декабрь 2023;4 505;0,00168;
январь 2024;3 506;0,00134;
февраль 2024;2 523;0,00103;
март 2024;2 600;0,00101;
апрель 2024;2 439;0,00102;
май 2024;2 766;0,00118;
июнь 2024;1 730;0,00088;
июль 2024;2 160;0,00110;
август 2024;2 980;0,00152;
сентябрь 2024;3 923;0,00182;
октябрь 2024;6 140;0,00247;
ноябрь 2024;5 390;0,00208;
декабрь 2024;4 243;0,00158;
январь 2025;3 653;0,00135;
февраль 2025;3 229;0,00124;
март 2025;2 783;0,00103;
апрель 2025;2 405;0,00092;
май 2025;2 249;0,00094;
июнь 2025;1 903;0,00081;
