Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стальные радиаторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 154;0,00054;
август 2023;1 251;0,00058;
сентябрь 2023;1 256;0,00052;
октябрь 2023;1 558;0,00058;
ноябрь 2023;1 521;0,00057;
декабрь 2023;1 395;0,00052;
январь 2024;1 111;0,00042;
февраль 2024;1 086;0,00044;
март 2024;1 261;0,00049;
апрель 2024;1 158;0,00048;
май 2024;1 196;0,00051;
июнь 2024;1 041;0,00053;
июль 2024;1 168;0,00059;
август 2024;1 308;0,00066;
сентябрь 2024;1 389;0,00064;
октябрь 2024;1 505;0,00060;
ноябрь 2024;1 438;0,00055;
декабрь 2024;1 305;0,00048;
январь 2025;1 143;0,00042;
февраль 2025;1 091;0,00042;
март 2025;1 115;0,00041;
апрель 2025;1 141;0,00044;
май 2025;1 059;0,00044;
июнь 2025;1 208;0,00051;
