Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Чугунные радиаторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;928;0,00043;
август 2023;956;0,00044;
сентябрь 2023;897;0,00037;
октябрь 2023;980;0,00036;
ноябрь 2023;764;0,00029;
декабрь 2023;996;0,00037;
январь 2024;967;0,00036;
февраль 2024;800;0,00032;
март 2024;591;0,00023;
апрель 2024;645;0,00027;
май 2024;860;0,00036;
июнь 2024;591;0,00030;
июль 2024;852;0,00043;
август 2024;1 239;0,00063;
сентябрь 2024;970;0,00045;
октябрь 2024;977;0,00039;
ноябрь 2024;742;0,00028;
декабрь 2024;764;0,00028;
январь 2025;638;0,00023;
февраль 2025;531;0,00020;
март 2025;492;0,00018;
апрель 2025;648;0,00025;
май 2025;485;0,00020;
июнь 2025;622;0,00026;
