Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Дизайнерские радиаторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;129;0,000061;
август 2023;81;0,000038;
сентябрь 2023;139;0,000058;
октябрь 2023;128;0,000047;
ноябрь 2023;124;0,000047;
декабрь 2023;107;0,000039;
январь 2024;111;0,000042;
февраль 2024;110;0,000044;
март 2024;110;0,000043;
апрель 2024;105;0,000044;
май 2024;101;0,000043;
июнь 2024;169;0,000086;
июль 2024;118;0,000060;
август 2024;96;0,000049;
сентябрь 2024;143;0,000066;
октябрь 2024;161;0,000064;
ноябрь 2024;128;0,000049;
декабрь 2024;120;0,000044;
январь 2025;99;0,000036;
февраль 2025;141;0,000054;
март 2025;141;0,000052;
апрель 2025;113;0,000043;
май 2025;96;0,000040;
июнь 2025;117;0,000050;
