Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Воздухоотводчики», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;573;0,00027;
август 2023;751;0,00035;
сентябрь 2023;970;0,00040;
октябрь 2023;1 383;0,00051;
ноябрь 2023;1 092;0,00041;
декабрь 2023;893;0,00033;
январь 2024;738;0,00028;
февраль 2024;864;0,00035;
март 2024;749;0,00029;
апрель 2024;662;0,00027;
май 2024;709;0,00030;
июнь 2024;612;0,00031;
июль 2024;817;0,00041;
август 2024;802;0,00040;
сентябрь 2024;1 175;0,00054;
октябрь 2024;1 695;0,00068;
ноябрь 2024;1 457;0,00056;
декабрь 2024;1 438;0,00053;
январь 2025;1 015;0,00037;
февраль 2025;1 050;0,00040;
март 2025;1 116;0,00041;
апрель 2025;868;0,00033;
май 2025;915;0,00038;
июнь 2025;852;0,00036;
