Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Экраны для радиаторов», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;238;0,000112;
август 2023;242;0,000113;
сентябрь 2023;222;0,000092;
октябрь 2023;277;0,000103;
ноябрь 2023;357;0,000135;
декабрь 2023;283;0,000105;
январь 2024;220;0,000084;
февраль 2024;187;0,000076;
март 2024;218;0,000085;
апрель 2024;190;0,000079;
май 2024;243;0,000103;
июнь 2024;158;0,000080;
июль 2024;241;0,000123;
август 2024;333;0,000170;
сентябрь 2024;277;0,000128;
октябрь 2024;276;0,000111;
ноябрь 2024;231;0,000089;
декабрь 2024;252;0,000094;
январь 2025;260;0,000096;
февраль 2025;235;0,000090;
март 2025;237;0,000088;
апрель 2025;230;0,000088;
май 2025;160;0,000067;
июнь 2025;180;0,000077;
