Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кабельный теплый пол», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;75;0,000035;
август 2023;68;0,000031;
сентябрь 2023;63;0,000026;
октябрь 2023;83;0,000031;
ноябрь 2023;90;0,000034;
декабрь 2023;65;0,000024;
январь 2024;77;0,000029;
февраль 2024;51;0,000020;
март 2024;52;0,000020;
апрель 2024;50;0,000021;
май 2024;72;0,000030;
июнь 2024;50;0,000025;
июль 2024;46;0,000023;
август 2024;78;0,000039;
сентябрь 2024;59;0,000027;
октябрь 2024;74;0,000029;
ноябрь 2024;89;0,000034;
декабрь 2024;62;0,000023;
январь 2025;84;0,000031;
февраль 2025;56;0,000021;
март 2025;51;0,000019;
апрель 2025;91;0,000035;
май 2025;61;0,000025;
июнь 2025;68;0,000029;
