Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Терморегуляторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;4 385;0,0020;
август 2023;5 827;0,0027;
сентябрь 2023;7 382;0,0030;
октябрь 2023;12 154;0,0045;
ноябрь 2023;10 678;0,0040;
декабрь 2023;11 389;0,0042;
январь 2024;7 973;0,0030;
февраль 2024;6 804;0,0027;
март 2024;6 667;0,0026;
апрель 2024;5 356;0,0022;
май 2024;7 444;0,0031;
июнь 2024;4 048;0,0020;
июль 2024;4 360;0,0022;
август 2024;5 465;0,0027;
сентябрь 2024;6 860;0,0031;
октябрь 2024;11 399;0,0045;
ноябрь 2024;10 340;0,0040;
декабрь 2024;9 371;0,0034;
январь 2025;8 183;0,0030;
февраль 2025;7 481;0,0028;
март 2025;6 699;0,0024;
апрель 2025;6 316;0,0024;
май 2025;5 681;0,0023;
июнь 2025;4 725;0,0020;
