Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Коврики нагревательные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;26;0,0000123;
август 2023;12;0,0000056;
сентябрь 2023;15;0,0000062;
октябрь 2023;23;0,0000085;
ноябрь 2023;28;0,0000106;
декабрь 2023;18;0,0000067;
январь 2024;15;0,0000057;
февраль 2024;28;0,0000114;
март 2024;14;0,0000054;
апрель 2024;3;0,0000012;
май 2024;9;0,0000038;
июнь 2024;28;0,0000143;
июль 2024;16;0,0000082;
август 2024;15;0,0000076;
сентябрь 2024;14;0,0000065;
октябрь 2024;25;0,0000100;
ноябрь 2024;22;0,0000085;
декабрь 2024;12;0,0000044;
январь 2025;15;0,0000055;
февраль 2025;26;0,0000100;
март 2025;18;0,0000067;
апрель 2025;14;0,0000054;
май 2025;21;0,0000087;
июнь 2025;8;0,0000034;
