Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Водяные полотенцесушители», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 405;0,00066;
август 2023;1 314;0,00061;
сентябрь 2023;1 217;0,00050;
октябрь 2023;1 515;0,00056;
ноябрь 2023;1 274;0,00048;
декабрь 2023;1 221;0,00045;
январь 2024;1 339;0,00051;
февраль 2024;1 167;0,00047;
март 2024;1 388;0,00054;
апрель 2024;1 133;0,00047;
май 2024;1 253;0,00053;
июнь 2024;1 187;0,00060;
июль 2024;1 221;0,00062;
август 2024;1 325;0,00067;
сентябрь 2024;1 200;0,00055;
октябрь 2024;1 271;0,00051;
ноябрь 2024;1 146;0,00044;
декабрь 2024;1 012;0,00037;
январь 2025;1 065;0,00039;
февраль 2025;1 148;0,00044;
март 2025;1 105;0,00041;
апрель 2025;930;0,00035;
май 2025;992;0,00041;
июнь 2025;1 347;0,00057;
