Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для полотенцесушителей», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;0;0;
август 2023;3;0,00000141;
сентябрь 2023;3;0,00000125;
октябрь 2023;16;0,00000598;
ноябрь 2023;0;0;
декабрь 2023;4;0,00000149;
январь 2024;3;0,00000114;
февраль 2024;9;0,00000367;
март 2024;3;0,00000117;
апрель 2024;3;0,00000126;
май 2024;3;0,00000128;
июнь 2024;8;0,00000409;
июль 2024;5;0,00000256;
август 2024;4;0,00000204;
сентябрь 2024;13;0,00000603;
октябрь 2024;9;0,00000362;
ноябрь 2024;12;0,00000465;
декабрь 2024;2;0,00000074;
январь 2025;4;0,00000148;
февраль 2025;1;0,00000038;
март 2025;3;0,00000111;
апрель 2025;5;0,00000193;
май 2025;0;0;
июнь 2025;4;0,00000171;
