Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Счетчики для газа», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;184;0,000087;
август 2023;262;0,000123;
сентябрь 2023;224;0,000093;
октябрь 2023;303;0,000113;
ноябрь 2023;402;0,000152;
декабрь 2023;410;0,000153;
январь 2024;361;0,000138;
февраль 2024;312;0,000127;
март 2024;321;0,000125;
апрель 2024;252;0,000106;
май 2024;272;0,000116;
июнь 2024;213;0,000109;
июль 2024;292;0,000149;
август 2024;244;0,000124;
сентябрь 2024;246;0,000114;
октябрь 2024;454;0,000182;
ноябрь 2024;504;0,000195;
декабрь 2024;483;0,000180;
январь 2025;458;0,000170;
февраль 2025;315;0,000121;
март 2025;242;0,000090;
апрель 2025;234;0,000090;
май 2025;214;0,000089;
июнь 2025;238;0,000102;
