Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Магнитные преобразователи», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;82;0,000038;
август 2023;87;0,000040;
сентябрь 2023;117;0,000048;
октябрь 2023;171;0,000063;
ноябрь 2023;97;0,000036;
декабрь 2023;137;0,000051;
январь 2024;126;0,000048;
февраль 2024;105;0,000042;
март 2024;104;0,000040;
апрель 2024;109;0,000045;
май 2024;131;0,000055;
июнь 2024;96;0,000049;
июль 2024;81;0,000041;
август 2024;123;0,000062;
сентябрь 2024;109;0,000050;
октябрь 2024;150;0,000060;
ноябрь 2024;141;0,000054;
декабрь 2024;207;0,000077;
январь 2025;144;0,000053;
февраль 2025;107;0,000041;
март 2025;125;0,000046;
апрель 2025;109;0,000042;
май 2025;132;0,000055;
июнь 2025;135;0,000057;
