Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фильтры для питьевой воды», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;442;0,00020;
август 2023;433;0,00020;
сентябрь 2023;524;0,00021;
октябрь 2023;651;0,00024;
ноябрь 2023;491;0,00018;
декабрь 2023;525;0,00019;
январь 2024;545;0,00020;
февраль 2024;542;0,00022;
март 2024;567;0,00022;
апрель 2024;364;0,00015;
май 2024;393;0,00016;
июнь 2024;364;0,00018;
июль 2024;355;0,00018;
август 2024;326;0,00016;
сентябрь 2024;391;0,00018;
октябрь 2024;492;0,00019;
ноябрь 2024;465;0,00018;
декабрь 2024;578;0,00021;
январь 2025;488;0,00018;
февраль 2025;550;0,00021;
март 2025;621;0,00023;
апрель 2025;470;0,00018;
май 2025;434;0,00018;
июнь 2025;414;0,00017;
