Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фильтры механической очистки воды», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;70;0,000033;
август 2023;85;0,000039;
сентябрь 2023;39;0,000016;
октябрь 2023;77;0,000028;
ноябрь 2023;64;0,000024;
декабрь 2023;67;0,000025;
январь 2024;49;0,000018;
февраль 2024;72;0,000029;
март 2024;93;0,000036;
апрель 2024;64;0,000026;
май 2024;99;0,000042;
июнь 2024;91;0,000046;
июль 2024;60;0,000030;
август 2024;77;0,000039;
сентябрь 2024;42;0,000019;
октябрь 2024;72;0,000029;
ноябрь 2024;106;0,000041;
декабрь 2024;70;0,000026;
январь 2025;69;0,000025;
февраль 2025;66;0,000025;
март 2025;101;0,000037;
апрель 2025;95;0,000036;
май 2025;80;0,000033;
июнь 2025;84;0,000036;
