Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вентиляторы осевые», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;948;0,00044;
август 2023;1 061;0,00049;
сентябрь 2023;848;0,00035;
октябрь 2023;896;0,00033;
ноябрь 2023;933;0,00035;
декабрь 2023;748;0,00027;
январь 2024;760;0,00029;
февраль 2024;878;0,00035;
март 2024;893;0,00035;
апрель 2024;1 047;0,00044;
май 2024;953;0,00040;
июнь 2024;1 145;0,00058;
июль 2024;1 233;0,00063;
август 2024;864;0,00044;
сентябрь 2024;842;0,00039;
октябрь 2024;1 013;0,00040;
ноябрь 2024;942;0,00036;
декабрь 2024;956;0,00035;
январь 2025;794;0,00029;
февраль 2025;1 100;0,00042;
март 2025;1 226;0,00045;
апрель 2025;1 163;0,00044;
май 2025;1 020;0,00042;
июнь 2025;1 103;0,00047;
