Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вентиляторы промышленные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;340;0,000161;
август 2023;273;0,000128;
сентябрь 2023;176;0,000073;
октябрь 2023;217;0,000081;
ноябрь 2023;204;0,000077;
декабрь 2023;177;0,000066;
январь 2024;179;0,000068;
февраль 2024;259;0,000105;
март 2024;201;0,000078;
апрель 2024;264;0,000111;
май 2024;282;0,000120;
июнь 2024;656;0,000336;
июль 2024;651;0,000333;
август 2024;296;0,000151;
сентябрь 2024;221;0,000102;
октябрь 2024;305;0,000122;
ноябрь 2024;234;0,000090;
декабрь 2024;263;0,000098;
январь 2025;239;0,000088;
февраль 2025;328;0,000126;
март 2025;436;0,000162;
апрель 2025;386;0,000149;
май 2025;364;0,000152;
июнь 2025;439;0,000188;
