Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шуруповерты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;27 651;0,013;
август 2023;27 942;0,013;
сентябрь 2023;30 633;0,012;
октябрь 2023;37 996;0,014;
ноябрь 2023;39 080;0,014;
декабрь 2023;34 082;0,012;
январь 2024;32 401;0,012;
февраль 2024;34 848;0,014;
март 2024;36 690;0,014;
апрель 2024;30 299;0,012;
май 2024;31 390;0,013;
июнь 2024;23 107;0,011;
июль 2024;25 777;0,013;
август 2024;27 564;0,014;
сентябрь 2024;28 703;0,013;
октябрь 2024;33 101;0,013;
ноябрь 2024;34 786;0,013;
декабрь 2024;31 989;0,011;
январь 2025;31 235;0,011;
февраль 2025;32 870;0,012;
март 2025;29 622;0,011;
апрель 2025;27 823;0,010;
май 2025;26 997;0,011;
июнь 2025;25 798;0,011;
