Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шлифовальные машины», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 808;0,00085;
август 2023;1 861;0,00087;
сентябрь 2023;1 754;0,00073;
октябрь 2023;1 717;0,00064;
ноябрь 2023;1 905;0,00072;
декабрь 2023;1 596;0,00059;
январь 2024;1 509;0,00057;
февраль 2024;1 498;0,00061;
март 2024;1 914;0,00075;
апрель 2024;1 739;0,00073;
май 2024;1 892;0,00080;
июнь 2024;1 684;0,00086;
июль 2024;1 871;0,00095;
август 2024;1 737;0,00088;
сентябрь 2024;1 545;0,00071;
октябрь 2024;1 601;0,00064;
ноябрь 2024;1 856;0,00071;
декабрь 2024;1 770;0,00066;
январь 2025;1 723;0,00063;
февраль 2025;1 883;0,00072;
март 2025;2 024;0,00075;
апрель 2025;1 946;0,00075;
май 2025;1 982;0,00083;
июнь 2025;1 934;0,00082;
