Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «УШМ (Болгарки)», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;8 691;0,0041;
август 2023;8 013;0,0037;
сентябрь 2023;8 210;0,0034;
октябрь 2023;8 687;0,0032;
ноябрь 2023;8 276;0,0031;
декабрь 2023;6 798;0,0025;
январь 2024;6 341;0,0024;
февраль 2024;7 176;0,0029;
март 2024;8 285;0,0032;
апрель 2024;8 467;0,0035;
май 2024;10 148;0,0043;
июнь 2024;8 269;0,0042;
июль 2024;8 634;0,0044;
август 2024;8 367;0,0042;
сентябрь 2024;8 102;0,0037;
октябрь 2024;8 471;0,0034;
ноябрь 2024;8 531;0,0033;
декабрь 2024;7 813;0,0029;
январь 2025;7 825;0,0029;
февраль 2025;8 519;0,0032;
март 2025;8 747;0,0032;
апрель 2025;9 280;0,0035;
май 2025;9 455;0,0039;
июнь 2025;8 984;0,0038;
