Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сварочные аппараты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;10 210;0,0048;
август 2023;10 202;0,0047;
сентябрь 2023;10 679;0,0044;
октябрь 2023;10 927;0,0040;
ноябрь 2023;10 798;0,0041;
декабрь 2023;8 443;0,0031;
январь 2024;8 053;0,0030;
февраль 2024;9 679;0,0039;
март 2024;10 645;0,0041;
апрель 2024;11 598;0,0048;
май 2024;13 229;0,0056;
июнь 2024;9 880;0,0050;
июль 2024;9 741;0,0049;
август 2024;9 518;0,0048;
сентябрь 2024;9 330;0,0043;
октябрь 2024;10 405;0,0041;
ноябрь 2024;10 780;0,0041;
декабрь 2024;9 244;0,0034;
январь 2025;9 526;0,0035;
февраль 2025;10 676;0,0041;
март 2025;11 658;0,0043;
апрель 2025;12 284;0,0047;
май 2025;12 333;0,0051;
июнь 2025;10 795;0,0046;
