Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Киянки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;467;0,00022;
август 2023;485;0,00022;
сентябрь 2023;633;0,00026;
октябрь 2023;764;0,00028;
ноябрь 2023;525;0,00019;
декабрь 2023;473;0,00017;
январь 2024;498;0,00019;
февраль 2024;528;0,00021;
март 2024;665;0,00026;
апрель 2024;695;0,00029;
май 2024;724;0,00030;
июнь 2024;412;0,00021;
июль 2024;467;0,00023;
август 2024;449;0,00022;
сентябрь 2024;578;0,00026;
октябрь 2024;632;0,00025;
ноябрь 2024;616;0,00023;
декабрь 2024;586;0,00021;
январь 2025;608;0,00022;
февраль 2025;581;0,00022;
март 2025;792;0,00029;
апрель 2025;629;0,00024;
май 2025;594;0,00024;
июнь 2025;583;0,00025;
