Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ножовки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 760;0,00083;
август 2023;2 042;0,00095;
сентябрь 2023;1 932;0,00080;
октябрь 2023;2 126;0,00079;
ноябрь 2023;2 144;0,00081;
декабрь 2023;2 004;0,00074;
январь 2024;1 928;0,00073;
февраль 2024;1 880;0,00076;
март 2024;2 117;0,00082;
апрель 2024;2 381;0,00100;
май 2024;2 445;0,00104;
июнь 2024;1 530;0,00078;
июль 2024;1 588;0,00081;
август 2024;1 509;0,00077;
сентябрь 2024;1 792;0,00083;
октябрь 2024;2 039;0,00082;
ноябрь 2024;2 214;0,00085;
декабрь 2024;2 099;0,00078;
январь 2025;2 017;0,00074;
февраль 2025;2 091;0,00080;
март 2025;2 467;0,00091;
апрель 2025;2 660;0,00102;
май 2025;2 388;0,00100;
июнь 2025;1 861;0,00079;
