Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Лазерное оборудование», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;157;0,000074;
август 2023;196;0,000092;
сентябрь 2023;172;0,000071;
октябрь 2023;201;0,000075;
ноябрь 2023;277;0,000105;
декабрь 2023;199;0,000074;
январь 2024;183;0,000069;
февраль 2024;213;0,000086;
март 2024;251;0,000098;
апрель 2024;210;0,000088;
май 2024;228;0,000097;
июнь 2024;191;0,000097;
июль 2024;155;0,000079;
август 2024;139;0,000071;
сентябрь 2024;211;0,000097;
октябрь 2024;220;0,000088;
ноябрь 2024;313;0,000121;
декабрь 2024;180;0,000067;
январь 2025;232;0,000086;
февраль 2025;323;0,000124;
март 2025;269;0,000100;
апрель 2025;199;0,000076;
май 2025;193;0,000080;
июнь 2025;272;0,000116;
