Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Влагомеры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;625;0,00029;
август 2023;520;0,00024;
сентябрь 2023;480;0,00020;
октябрь 2023;628;0,00023;
ноябрь 2023;497;0,00018;
декабрь 2023;605;0,00022;
январь 2024;466;0,00017;
февраль 2024;491;0,00020;
март 2024;435;0,00017;
апрель 2024;412;0,00017;
май 2024;521;0,00022;
июнь 2024;407;0,00020;
июль 2024;449;0,00023;
август 2024;705;0,00036;
сентябрь 2024;578;0,00026;
октябрь 2024;593;0,00023;
ноябрь 2024;524;0,00020;
декабрь 2024;641;0,00023;
январь 2025;419;0,00015;
февраль 2025;534;0,00020;
март 2025;613;0,00022;
апрель 2025;548;0,00021;
май 2025;430;0,00018;
июнь 2025;460;0,00019;
