Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Линейки, метры складные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;14 778;0,0070;
август 2023;23 446;0,0110;
сентябрь 2023;31 518;0,0131;
октябрь 2023;27 716;0,0103;
ноябрь 2023;26 220;0,0099;
декабрь 2023;24 334;0,0090;
январь 2024;22 773;0,0087;
февраль 2024;23 235;0,0094;
март 2024;22 487;0,0088;
апрель 2024;23 028;0,0096;
май 2024;23 273;0,0099;
июнь 2024;13 606;0,0069;
июль 2024;14 491;0,0074;
август 2024;24 816;0,0126;
сентябрь 2024;31 461;0,0146;
октябрь 2024;25 960;0,0104;
ноябрь 2024;26 540;0,0102;
декабрь 2024;26 871;0,0100;
январь 2025;25 833;0,0095;
февраль 2025;25 603;0,0098;
март 2025;25 073;0,0093;
апрель 2025;28 508;0,0110;
май 2025;25 165;0,0105;
июнь 2025;17 434;0,0074;
