Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Нивелиры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 973;0,00140;
август 2023;2 952;0,00138;
сентябрь 2023;2 927;0,00122;
октябрь 2023;3 228;0,00120;
ноябрь 2023;2 915;0,00110;
декабрь 2023;2 899;0,00108;
январь 2024;2 083;0,00079;
февраль 2024;2 520;0,00102;
март 2024;2 779;0,00108;
апрель 2024;3 360;0,00141;
май 2024;3 884;0,00165;
июнь 2024;3 085;0,00158;
июль 2024;3 020;0,00154;
август 2024;2 494;0,00127;
сентябрь 2024;2 734;0,00126;
октябрь 2024;2 970;0,00119;
ноябрь 2024;2 731;0,00105;
декабрь 2024;3 189;0,00119;
январь 2025;2 453;0,00091;
февраль 2025;2 695;0,00104;
март 2025;2 944;0,00109;
апрель 2025;3 676;0,00141;
май 2025;3 831;0,00160;
июнь 2025;3 414;0,00146;
