Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Толщиномеры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 903;0,00090;
август 2023;1 773;0,00083;
сентябрь 2023;1 699;0,00070;
октябрь 2023;1 877;0,00070;
ноябрь 2023;1 846;0,00070;
декабрь 2023;1 495;0,00055;
январь 2024;1 610;0,00061;
февраль 2024;1 722;0,00070;
март 2024;1 832;0,00071;
апрель 2024;1 777;0,00074;
май 2024;1 531;0,00065;
июнь 2024;1 418;0,00072;
июль 2024;1 500;0,00076;
август 2024;1 521;0,00077;
сентябрь 2024;1 520;0,00070;
октябрь 2024;1 619;0,00065;
ноябрь 2024;1 502;0,00058;
декабрь 2024;1 764;0,00065;
январь 2025;1 647;0,00061;
февраль 2025;1 954;0,00075;
март 2025;2 079;0,00077;
апрель 2025;1 710;0,00066;
май 2025;1 550;0,00064;
июнь 2025;1 357;0,00058;
