Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Контроль параметров окружающей среды», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;0;0;
август 2023;4;0,00000188;
сентябрь 2023;8;0,00000333;
октябрь 2023;5;0,00000186;
ноябрь 2023;5;0,00000190;
декабрь 2023;2;0,00000074;
январь 2024;6;0,00000229;
февраль 2024;0;0;
март 2024;12;0,00000470;
апрель 2024;2;0,00000084;
май 2024;4;0,00000170;
июнь 2024;7;0,00000358;
июль 2024;4;0,00000205;
август 2024;6;0,00000306;
сентябрь 2024;0;0;
октябрь 2024;10;0,00000402;
ноябрь 2024;19;0,00000736;
декабрь 2024;13;0,00000485;
январь 2025;2;0,00000074;
февраль 2025;8;0,00000309;
март 2025;5;0,00000186;
апрель 2025;6;0,00000231;
май 2025;10;0,00000418;
июнь 2025;6;0,00000257;
