Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Саморезы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;16 349;0,0077;
август 2023;16 925;0,0079;
сентябрь 2023;15 477;0,0064;
октябрь 2023;16 183;0,0060;
ноябрь 2023;14 821;0,0056;
декабрь 2023;11 756;0,0043;
январь 2024;10 881;0,0041;
февраль 2024;12 331;0,0050;
март 2024;14 087;0,0055;
апрель 2024;16 242;0,0068;
май 2024;17 488;0,0074;
июнь 2024;14 908;0,0076;
июль 2024;17 692;0,0090;
август 2024;17 741;0,0090;
сентябрь 2024;17 197;0,0079;
октябрь 2024;18 112;0,0072;
ноябрь 2024;17 014;0,0065;
декабрь 2024;15 236;0,0056;
январь 2025;14 099;0,0052;
февраль 2025;15 135;0,0058;
март 2025;16 994;0,0063;
апрель 2025;18 633;0,0071;
май 2025;18 984;0,0079;
июнь 2025;22 101;0,0094;
