Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Хомуты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;13 034;0,0061;
август 2023;13 885;0,0065;
сентябрь 2023;13 082;0,0054;
октябрь 2023;14 566;0,0054;
ноябрь 2023;14 203;0,0054;
декабрь 2023;12 561;0,0046;
январь 2024;12 147;0,0046;
февраль 2024;13 301;0,0054;
март 2024;13 988;0,0054;
апрель 2024;14 815;0,0062;
май 2024;15 258;0,0065;
июнь 2024;14 741;0,0075;
июль 2024;15 305;0,0078;
август 2024;14 534;0,0074;
сентябрь 2024;14 831;0,0068;
октябрь 2024;16 867;0,0067;
ноябрь 2024;16 358;0,0063;
декабрь 2024;15 653;0,0058;
январь 2025;14 357;0,0053;
февраль 2025;15 445;0,0059;
март 2025;16 913;0,0063;
апрель 2025;16 962;0,0065;
май 2025;16 328;0,0068;
июнь 2025;20 596;0,0088;
