Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гвозди», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;16 815;0,0079;
август 2023;16 923;0,0079;
сентябрь 2023;17 144;0,0071;
октябрь 2023;19 272;0,0072;
ноябрь 2023;17 555;0,0066;
декабрь 2023;17 215;0,0064;
январь 2024;16 270;0,0062;
февраль 2024;16 197;0,0066;
март 2024;17 417;0,0068;
апрель 2024;17 783;0,0074;
май 2024;16 783;0,0071;
июнь 2024;14 046;0,0071;
июль 2024;15 932;0,0081;
август 2024;16 189;0,0082;
сентябрь 2024;16 540;0,0076;
октябрь 2024;18 467;0,0074;
ноябрь 2024;17 571;0,0068;
декабрь 2024;17 813;0,0066;
январь 2025;17 633;0,0065;
февраль 2025;17 911;0,0069;
март 2025;18 267;0,0068;
апрель 2025;19 278;0,0074;
май 2025;17 754;0,0074;
июнь 2025;19 936;0,0085;
