Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Биты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;74 016;0,035;
август 2023;76 509;0,035;
сентябрь 2023;95 296;0,039;
октябрь 2023;114 991;0,042;
ноябрь 2023;109 537;0,041;
декабрь 2023;116 102;0,043;
январь 2024;106 725;0,040;
февраль 2024;99 913;0,040;
март 2024;99 369;0,038;
апрель 2024;93 542;0,039;
май 2024;96 258;0,041;
июнь 2024;70 246;0,035;
июль 2024;70 896;0,036;
август 2024;74 537;0,038;
сентябрь 2024;92 362;0,042;
октябрь 2024;111 477;0,044;
ноябрь 2024;114 814;0,044;
декабрь 2024;132 262;0,049;
январь 2025;118 190;0,043;
февраль 2025;117 704;0,045;
март 2025;112 185;0,041;
апрель 2025;109 632;0,042;
май 2025;101 714;0,042;
июнь 2025;86 871;0,037;
