Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пильные диски», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 387;0,00065;
август 2023;1 365;0,00064;
сентябрь 2023;1 402;0,00058;
октябрь 2023;1 491;0,00055;
ноябрь 2023;1 395;0,00053;
декабрь 2023;1 114;0,00041;
январь 2024;1 079;0,00041;
февраль 2024;1 071;0,00043;
март 2024;1 425;0,00055;
апрель 2024;1 228;0,00051;
май 2024;1 292;0,00055;
июнь 2024;1 170;0,00059;
июль 2024;1 094;0,00056;
август 2024;1 203;0,00061;
сентябрь 2024;1 170;0,00054;
октябрь 2024;1 422;0,00057;
ноябрь 2024;1 248;0,00048;
декабрь 2024;1 306;0,00048;
январь 2025;1 364;0,00050;
февраль 2025;1 428;0,00055;
март 2025;1 431;0,00053;
апрель 2025;1 209;0,00046;
май 2025;1 061;0,00044;
июнь 2025;1 256;0,00053;
