Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пилки для электролобзиков», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;92;0,000043;
август 2023;124;0,000058;
сентябрь 2023;115;0,000048;
октябрь 2023;110;0,000041;
ноябрь 2023;126;0,000047;
декабрь 2023;93;0,000034;
январь 2024;82;0,000031;
февраль 2024;127;0,000051;
март 2024;135;0,000052;
апрель 2024;112;0,000047;
май 2024;96;0,000040;
июнь 2024;95;0,000048;
июль 2024;89;0,000045;
август 2024;83;0,000042;
сентябрь 2024;77;0,000035;
октябрь 2024;112;0,000045;
ноябрь 2024;118;0,000045;
декабрь 2024;74;0,000027;
январь 2025;122;0,000045;
февраль 2025;99;0,000038;
март 2025;124;0,000046;
апрель 2025;97;0,000037;
май 2025;101;0,000042;
июнь 2025;87;0,000037;
