Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сверла», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;14 050;0,0066;
август 2023;13 539;0,0063;
сентябрь 2023;14 052;0,0058;
октябрь 2023;15 984;0,0059;
ноябрь 2023;16 425;0,0062;
декабрь 2023;14 531;0,0054;
январь 2024;13 545;0,0051;
февраль 2024;14 898;0,0060;
март 2024;16 469;0,0064;
апрель 2024;15 586;0,0065;
май 2024;16 584;0,0070;
июнь 2024;13 376;0,0068;
июль 2024;14 293;0,0073;
август 2024;14 355;0,0073;
сентябрь 2024;14 444;0,0067;
октябрь 2024;18 217;0,0073;
ноябрь 2024;18 041;0,0069;
декабрь 2024;17 510;0,0065;
январь 2025;17 461;0,0064;
февраль 2025;17 975;0,0069;
март 2025;17 796;0,0066;
апрель 2025;17 811;0,0068;
май 2025;16 556;0,0069;
июнь 2025;17 051;0,0073;
