Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Ножи для электрических рубанков», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;16;0,00000758;
август 2023;17;0,00000799;
сентябрь 2023;5;0,00000208;
октябрь 2023;14;0,00000523;
ноябрь 2023;5;0,00000190;
декабрь 2023;5;0,00000186;
январь 2024;1;0,00000038;
февраль 2024;12;0,00000490;
март 2024;1;0,00000039;
апрель 2024;5;0,00000210;
май 2024;12;0,00000512;
июнь 2024;8;0,00000409;
июль 2024;1;0,00000051;
август 2024;12;0,00000613;
сентябрь 2024;2;0,00000092;
октябрь 2024;1;0,00000040;
ноябрь 2024;1;0,00000038;
декабрь 2024;2;0,00000074;
январь 2025;5;0,00000185;
февраль 2025;7;0,00000270;
март 2025;8;0,00000298;
апрель 2025;0;0;
май 2025;6;0,00000251;
июнь 2025;7;0,00000300;
