Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Отрезные и алмазные диски», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;7;0,00000331;
август 2023;1;0,00000047;
сентябрь 2023;5;0,00000208;
октябрь 2023;5;0,00000186;
ноябрь 2023;6;0,00000228;
декабрь 2023;6;0,00000223;
январь 2024;1;0,00000038;
февраль 2024;5;0,00000204;
март 2024;4;0,00000156;
апрель 2024;11;0,00000463;
май 2024;11;0,00000469;
июнь 2024;3;0,00000153;
июль 2024;4;0,00000205;
август 2024;5;0,00000255;
сентябрь 2024;5;0,00000232;
октябрь 2024;4;0,00000161;
ноябрь 2024;1;0,00000038;
декабрь 2024;3;0,00000111;
январь 2025;7;0,00000259;
февраль 2025;5;0,00000193;
март 2025;11;0,00000409;
апрель 2025;11;0,00000424;
май 2025;9;0,00000377;
июнь 2025;17;0,00000729;
