Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Садовые пылесосы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;138;0,000065;
август 2023;132;0,000062;
сентябрь 2023;298;0,000124;
октябрь 2023;303;0,000113;
ноябрь 2023;161;0,000061;
декабрь 2023;67;0,000025;
январь 2024;81;0,000030;
февраль 2024;54;0,000022;
март 2024;80;0,000031;
апрель 2024;144;0,000060;
май 2024;148;0,000063;
июнь 2024;132;0,000067;
июль 2024;115;0,000058;
август 2024;116;0,000059;
сентябрь 2024;260;0,000120;
октябрь 2024;305;0,000122;
ноябрь 2024;118;0,000045;
декабрь 2024;37;0,000013;
январь 2025;45;0,000016;
февраль 2025;77;0,000029;
март 2025;122;0,000045;
апрель 2025;180;0,000069;
май 2025;119;0,000049;
июнь 2025;167;0,000071;
