Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Триммеры, бензокосы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;46 873;0,0222;
август 2023;39 121;0,0183;
сентябрь 2023;18 628;0,0077;
октябрь 2023;11 496;0,0042;
ноябрь 2023;10 371;0,0039;
декабрь 2023;11 044;0,0041;
январь 2024;11 210;0,0042;
февраль 2024;13 071;0,0053;
март 2024;11 291;0,0044;
апрель 2024;15 115;0,0063;
май 2024;54 405;0,0232;
июнь 2024;109 378;0,0560;
июль 2024;69 825;0,0358;
август 2024;50 897;0,0260;
сентябрь 2024;30 350;0,0140;
октябрь 2024;13 506;0,0054;
ноябрь 2024;9 555;0,0037;
декабрь 2024;11 346;0,0042;
январь 2025;11 190;0,0041;
февраль 2025;12 193;0,0047;
март 2025;13 066;0,0048;
апрель 2025;17 874;0,0069;
май 2025;118 254;0,0495;
июнь 2025;127 489;0,0546;
