Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Снегоуборщики», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;3 069;0,00145;
август 2023;4 841;0,00227;
сентябрь 2023;6 544;0,00273;
октябрь 2023;10 478;0,00391;
ноябрь 2023;44 007;0,01673;
декабрь 2023;53 977;0,02014;
январь 2024;131 562;0,05031;
февраль 2024;77 649;0,03170;
март 2024;11 808;0,00462;
апрель 2024;4 590;0,00193;
май 2024;4 500;0,00192;
июнь 2024;4 229;0,00216;
июль 2024;7 625;0,00391;
август 2024;11 319;0,00578;
сентябрь 2024;15 574;0,00723;
октябрь 2024;24 572;0,00989;
ноябрь 2024;30 513;0,01182;
декабрь 2024;82 189;0,03067;
январь 2025;27 494;0,01021;
февраль 2025;8 152;0,00315;
март 2025;3 863;0,00143;
апрель 2025;1 794;0,00069;
май 2025;2 153;0,00090;
июнь 2025;2 284;0,00097;
