Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Правила строительные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;344;0,00016;
август 2023;370;0,00017;
сентябрь 2023;433;0,00018;
октябрь 2023;464;0,00017;
ноябрь 2023;378;0,00014;
декабрь 2023;399;0,00014;
январь 2024;330;0,00012;
февраль 2024;502;0,00020;
март 2024;465;0,00018;
апрель 2024;412;0,00017;
май 2024;587;0,00025;
июнь 2024;527;0,00026;
июль 2024;404;0,00020;
август 2024;403;0,00020;
сентябрь 2024;408;0,00018;
октябрь 2024;488;0,00019;
ноябрь 2024;490;0,00018;
декабрь 2024;464;0,00017;
январь 2025;481;0,00017;
февраль 2025;546;0,00021;
март 2025;562;0,00020;
апрель 2025;660;0,00025;
май 2025;519;0,00021;
июнь 2025;644;0,00027;
