Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запчасти на мотоблок», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;186;0,000088;
август 2023;200;0,000094;
сентябрь 2023;198;0,000082;
октябрь 2023;159;0,000059;
ноябрь 2023;151;0,000057;
декабрь 2023;69;0,000025;
январь 2024;116;0,000044;
февраль 2024;116;0,000047;
март 2024;157;0,000061;
апрель 2024;215;0,000090;
май 2024;448;0,000191;
июнь 2024;251;0,000128;
июль 2024;260;0,000133;
август 2024;214;0,000109;
сентябрь 2024;233;0,000108;
октябрь 2024;154;0,000062;
ноябрь 2024;91;0,000035;
декабрь 2024;79;0,000029;
январь 2025;95;0,000035;
февраль 2025;120;0,000046;
март 2025;154;0,000057;
апрель 2025;245;0,000094;
май 2025;386;0,000161;
июнь 2025;226;0,000096;
