Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Счетчики электроэнергии», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;4 852;0,0022;
август 2023;5 070;0,0023;
сентябрь 2023;5 165;0,0021;
октябрь 2023;6 091;0,0022;
ноябрь 2023;6 230;0,0023;
декабрь 2023;5 526;0,0020;
январь 2024;4 830;0,0018;
февраль 2024;4 703;0,0019;
март 2024;5 318;0,0020;
апрель 2024;4 798;0,0020;
май 2024;5 014;0,0021;
июнь 2024;3 939;0,0020;
июль 2024;4 231;0,0021;
август 2024;3 934;0,0020;
сентябрь 2024;5 235;0,0024;
октябрь 2024;5 807;0,0023;
ноябрь 2024;6 644;0,0025;
декабрь 2024;6 717;0,0025;
январь 2025;5 757;0,0021;
февраль 2025;5 528;0,0021;
март 2025;5 261;0,0019;
апрель 2025;5 025;0,0019;
май 2025;4 910;0,0020;
июнь 2025;4 920;0,0021;
