Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Специальные измерительные приборы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;3;0,0000014;
август 2023;5;0,0000023;
сентябрь 2023;16;0,0000066;
октябрь 2023;22;0,0000082;
ноябрь 2023;17;0,0000064;
декабрь 2023;32;0,0000119;
январь 2024;13;0,0000049;
февраль 2024;7;0,0000028;
март 2024;3;0,0000011;
апрель 2024;19;0,0000079;
май 2024;19;0,0000081;
июнь 2024;20;0,0000102;
июль 2024;12;0,0000061;
август 2024;12;0,0000061;
сентябрь 2024;19;0,0000088;
октябрь 2024;31;0,0000124;
ноябрь 2024;28;0,0000108;
декабрь 2024;28;0,0000104;
январь 2025;9;0,0000033;
февраль 2025;7;0,0000027;
март 2025;30;0,0000111;
апрель 2025;23;0,0000088;
май 2025;17;0,0000071;
июнь 2025;17;0,0000072;
