Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Дифференциальные автоматы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;366;0,00017;
август 2023;483;0,00022;
сентябрь 2023;355;0,00014;
октябрь 2023;435;0,00016;
ноябрь 2023;438;0,00016;
декабрь 2023;340;0,00012;
январь 2024;325;0,00012;
февраль 2024;384;0,00015;
март 2024;391;0,00015;
апрель 2024;447;0,00018;
май 2024;376;0,00016;
июнь 2024;347;0,00017;
июль 2024;402;0,00020;
август 2024;377;0,00019;
сентябрь 2024;501;0,00023;
октябрь 2024;408;0,00016;
ноябрь 2024;457;0,00017;
декабрь 2024;455;0,00016;
январь 2025;396;0,00014;
февраль 2025;433;0,00016;
март 2025;387;0,00014;
апрель 2025;435;0,00016;
май 2025;378;0,00015;
июнь 2025;421;0,00018;
