Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Изолента», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 229;0,00105;
август 2023;2 230;0,00104;
сентябрь 2023;2 274;0,00094;
октябрь 2023;2 878;0,00107;
ноябрь 2023;2 416;0,00091;
декабрь 2023;2 596;0,00096;
январь 2024;2 445;0,00093;
февраль 2024;2 406;0,00098;
март 2024;2 479;0,00097;
апрель 2024;2 363;0,00099;
май 2024;2 420;0,00103;
июнь 2024;1 947;0,00099;
июль 2024;2 003;0,00102;
август 2024;2 102;0,00107;
сентябрь 2024;2 034;0,00094;
октябрь 2024;2 463;0,00099;
ноябрь 2024;2 472;0,00095;
декабрь 2024;2 722;0,00101;
январь 2025;2 767;0,00102;
февраль 2025;2 727;0,00105;
март 2025;2 896;0,00107;
апрель 2025;2 558;0,00098;
май 2025;2 508;0,00105;
июнь 2025;3 070;0,00131;
