Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Провода», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;70 269;0,033;
август 2023;70 880;0,033;
сентябрь 2023;77 295;0,032;
октябрь 2023;86 970;0,032;
ноябрь 2023;90 329;0,034;
декабрь 2023;88 940;0,033;
январь 2024;78 219;0,029;
февраль 2024;82 156;0,033;
март 2024;93 800;0,036;
апрель 2024;84 374;0,035;
май 2024;84 603;0,036;
июнь 2024;73 490;0,037;
июль 2024;70 320;0,036;
август 2024;71 481;0,036;
сентябрь 2024;74 900;0,034;
октябрь 2024;89 146;0,035;
ноябрь 2024;95 678;0,037;
декабрь 2024;92 797;0,034;
январь 2025;95 424;0,035;
февраль 2025;96 998;0,037;
март 2025;102 895;0,038;
апрель 2025;96 287;0,037;
май 2025;91 609;0,038;
июнь 2025;92 640;0,039;
