Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фонари», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;33 808;0,016;
август 2023;36 465;0,017;
сентябрь 2023;38 108;0,015;
октябрь 2023;45 502;0,017;
ноябрь 2023;46 383;0,017;
декабрь 2023;46 569;0,017;
январь 2024;44 728;0,017;
февраль 2024;44 660;0,018;
март 2024;43 640;0,017;
апрель 2024;40 729;0,017;
май 2024;38 118;0,016;
июнь 2024;31 296;0,016;
июль 2024;32 989;0,016;
август 2024;35 807;0,018;
сентябрь 2024;37 901;0,017;
октябрь 2024;47 999;0,019;
ноябрь 2024;49 956;0,019;
декабрь 2024;50 813;0,018;
январь 2025;48 713;0,018;
февраль 2025;47 925;0,018;
март 2025;47 880;0,017;
апрель 2025;45 055;0,017;
май 2025;41 463;0,017;
июнь 2025;42 878;0,018;
