Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аккумуляторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;103 477;0,049;
август 2023;107 419;0,050;
сентябрь 2023;111 512;0,046;
октябрь 2023;149 738;0,055;
ноябрь 2023;163 456;0,062;
декабрь 2023;261 785;0,097;
январь 2024;199 416;0,076;
февраль 2024;133 361;0,054;
март 2024;114 255;0,044;
апрель 2024;111 965;0,047;
май 2024;112 692;0,048;
июнь 2024;92 943;0,047;
июль 2024;103 215;0,052;
август 2024;100 392;0,051;
сентябрь 2024;105 574;0,049;
октябрь 2024;141 980;0,057;
ноябрь 2024;154 455;0,059;
декабрь 2024;152 355;0,056;
январь 2025;149 091;0,055;
февраль 2025;135 594;0,052;
март 2025;125 385;0,046;
апрель 2025;119 489;0,046;
май 2025;116 171;0,048;
июнь 2025;119 588;0,051;
