Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Батарейки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;33 553;0,015;
август 2023;34 414;0,016;
сентябрь 2023;34 217;0,014;
октябрь 2023;42 549;0,015;
ноябрь 2023;44 219;0,016;
декабрь 2023;48 296;0,018;
январь 2024;43 701;0,016;
февраль 2024;39 503;0,016;
март 2024;40 139;0,015;
апрель 2024;38 064;0,016;
май 2024;36 436;0,015;
июнь 2024;29 246;0,014;
июль 2024;31 394;0,016;
август 2024;31 753;0,016;
сентябрь 2024;32 177;0,014;
октябрь 2024;40 756;0,016;
ноябрь 2024;43 923;0,017;
декабрь 2024;49 022;0,018;
январь 2025;47 268;0,017;
февраль 2025;44 590;0,017;
март 2025;45 064;0,016;
апрель 2025;43 207;0,016;
май 2025;39 297;0,016;
июнь 2025;37 232;0,015;
