Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Антенны», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;24 716;0,0117;
август 2023;22 288;0,0104;
сентябрь 2023;21 814;0,0091;
октябрь 2023;24 108;0,0090;
ноябрь 2023;23 743;0,0090;
декабрь 2023;24 003;0,0089;
январь 2024;23 511;0,0089;
февраль 2024;22 102;0,0090;
март 2024;23 781;0,0093;
апрель 2024;23 347;0,0098;
май 2024;26 368;0,0112;
июнь 2024;23 217;0,0118;
июль 2024;22 916;0,0117;
август 2024;20 541;0,0104;
сентябрь 2024;18 486;0,0085;
октябрь 2024;21 836;0,0087;
ноябрь 2024;24 860;0,0096;
декабрь 2024;26 276;0,0098;
январь 2025;26 895;0,0099;
февраль 2025;23 854;0,0092;
март 2025;23 958;0,0089;
апрель 2025;22 368;0,0086;
май 2025;24 015;0,0100;
июнь 2025;26 689;0,0114;
