Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тумбы под раковину», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 740;0,00082;
август 2023;2 042;0,00095;
сентябрь 2023;2 181;0,00091;
октябрь 2023;3 053;0,00114;
ноябрь 2023;2 443;0,00092;
декабрь 2023;1 937;0,00072;
январь 2024;2 295;0,00087;
февраль 2024;1 861;0,00075;
март 2024;1 930;0,00075;
апрель 2024;1 624;0,00068;
май 2024;1 597;0,00068;
июнь 2024;1 373;0,00070;
июль 2024;1 685;0,00086;
август 2024;1 972;0,00100;
сентябрь 2024;1 691;0,00078;
октябрь 2024;1 814;0,00073;
ноябрь 2024;2 019;0,00078;
декабрь 2024;1 843;0,00068;
январь 2025;2 161;0,00080;
февраль 2025;1 804;0,00069;
март 2025;1 797;0,00066;
апрель 2025;1 480;0,00057;
май 2025;1 968;0,00082;
июнь 2025;1 862;0,00079;
