Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шкафы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;99 684;0,047;
август 2023;108 658;0,051;
сентябрь 2023;111 664;0,046;
октябрь 2023;126 580;0,047;
ноябрь 2023;128 143;0,048;
декабрь 2023;110 001;0,041;
январь 2024;113 720;0,043;
февраль 2024;108 229;0,044;
март 2024;115 214;0,045;
апрель 2024;99 307;0,041;
май 2024;97 059;0,041;
июнь 2024;80 795;0,041;
июль 2024;94 041;0,048;
август 2024;99 707;0,050;
сентябрь 2024;98 925;0,045;
октябрь 2024;115 808;0,046;
ноябрь 2024;125 774;0,048;
декабрь 2024;114 657;0,042;
январь 2025;119 418;0,044;
февраль 2025;114 211;0,044;
март 2025;116 819;0,043;
апрель 2025;103 347;0,039;
май 2025;89 881;0,037;
июнь 2025;93 815;0,040;
