Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Смесители для ванны», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;4 030;0,0019;
август 2023;4 276;0,0020;
сентябрь 2023;3 752;0,0015;
октябрь 2023;4 543;0,0016;
ноябрь 2023;4 658;0,0017;
декабрь 2023;4 179;0,0015;
январь 2024;4 447;0,0017;
февраль 2024;4 117;0,0016;
март 2024;4 233;0,0016;
апрель 2024;3 640;0,0015;
май 2024;3 901;0,0016;
июнь 2024;3 317;0,0016;
июль 2024;3 658;0,0018;
август 2024;3 500;0,0017;
сентябрь 2024;3 392;0,0015;
октябрь 2024;3 778;0,0015;
ноябрь 2024;4 405;0,0017;
декабрь 2024;4 138;0,0015;
январь 2025;4 354;0,0016;
февраль 2025;4 014;0,0015;
март 2025;4 071;0,0015;
апрель 2025;3 941;0,0015;
май 2025;3 497;0,0014;
июнь 2025;3 487;0,0014;
