Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Смесители с термостатом», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;143;0,000067;
август 2023;118;0,000055;
сентябрь 2023;175;0,000073;
октябрь 2023;132;0,000049;
ноябрь 2023;162;0,000061;
декабрь 2023;216;0,000080;
январь 2024;226;0,000086;
февраль 2024;240;0,000098;
март 2024;192;0,000075;
апрель 2024;123;0,000051;
май 2024;163;0,000069;
июнь 2024;131;0,000067;
июль 2024;162;0,000083;
август 2024;162;0,000082;
сентябрь 2024;144;0,000066;
октябрь 2024;194;0,000078;
ноябрь 2024;189;0,000073;
декабрь 2024;154;0,000057;
январь 2025;244;0,000090;
февраль 2025;185;0,000071;
март 2025;244;0,000090;
апрель 2025;179;0,000069;
май 2025;157;0,000065;
июнь 2025;190;0,000081;
