Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Наборы смесителей», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;50;0,000023;
август 2023;68;0,000031;
сентябрь 2023;62;0,000025;
октябрь 2023;76;0,000028;
ноябрь 2023;67;0,000025;
декабрь 2023;66;0,000024;
январь 2024;54;0,000020;
февраль 2024;63;0,000025;
март 2024;82;0,000032;
апрель 2024;57;0,000023;
май 2024;57;0,000024;
июнь 2024;56;0,000028;
июль 2024;58;0,000029;
август 2024;61;0,000031;
сентябрь 2024;77;0,000035;
октябрь 2024;51;0,000020;
ноябрь 2024;56;0,000021;
декабрь 2024;64;0,000023;
январь 2025;65;0,000024;
февраль 2025;70;0,000027;
март 2025;92;0,000034;
апрель 2025;61;0,000023;
май 2025;68;0,000028;
июнь 2025;42;0,000018;
